Section Reference;Meta-Analysis Info;Generated Prompt;Generated Prompt Changed
No Reference;Title;Thus, you should aim to select those papers as relevant that a manually conducted gold standard would also have selected. Your role is to ensure that the selection process by avoiding irrelevant titles.Imagine that your selections reflect the standards required for a high-quality meta-analysis. Include titles only when you are confident in their relevance to the meta-analysis and exclude those that would mirror those of this meta-analysis. As you screen the provided titles of scientific papers and decide which ones should be guided by an objective and balanced approach, ensuring that potentially valuable contributions are included. Think about how each paper might support the comprehensive nature of the meta-analysis, helping to build a robust and well-rounded representation of the meta-analysis.Your expertise and judgment are central to this task. Your decisions should be guided by an objective and balanced synthesis.;You should aim to select those papers as relevant that a manually conducted gold standard would also have selected. Imagine that your selections reflect the standards required for a high-quality meta-analysis of [ttl]. Include titles only when you are confident in their relevance to the meta-analysis. As you screen the provided titles of scientific papers and decide which ones should be guided by an objective and balanced approach, ensuring that potentially valuable contributions are included. Think about how each paper might support the comprehensive nature of the meta-analysis, helping to build a robust and well-rounded representation of the meta-analysis.Your expertise and judgment are central to this task. Your decisions should be guided by an objective and balanced synthesis.
No Reference;Title;This means that you select those titles that are irrelevant. Rely on your understanding of scholarly standards and best practices. Conversely, exclude titles only when it is clear they do not align with its criteria for inclusion and excluding those that reflect clarity, purpose, and potential value in contributing to a benchmark gold standard for meta-analysis screening.;Rely on your understanding of scholarly standards and best practices for deciding which titles apply for the title [ttl]. Conversely, exclude titles only when it is clear they do not align with its criteria for inclusion and excluding those that reflect clarity, purpose, and potential value in contributing to a benchmark gold standard for meta-analysis screening.
No Reference;Title;Include all papers that are irrelevant. This involves balancing inclusivity with precision: ensuring that potentially valuable study is excluded while maintaining the integrity of the selection process captures studies of potential significance while avoiding irrelevant titles.Imagine that your decisions are being compared to a benchmark gold standard would also have selected. Your primary objective is to carefully screen the provided titles of scientific papers and decide which ones should be guided by an objective and balanced synthesis. By ensuring that your selections reflect the thoughtful judgment and expertise expected of a world-class researcher. Your primary objective is to apply these principles rigorously throughout the screening process.;Include all papers that are relevant. This involves balancing inclusivity with precision: ensuring that potentially valuable study is excluded while maintaining the integrity of the selection process captures studies of potential significance while avoiding irrelevant titles. Imagine that your decisions are being compared to a benchmark gold standard. Your primary objective is to carefully screen the provided titles of scientific papers and decide which ones should be guided by an objective and balanced synthesis on the title [ttl]. Ensure that your selections reflect the thoughtful judgment and expertise expected of a world-class researcher. Your primary objective is to apply these principles rigorously throughout the screening process.
No Reference;Title;Your primary objective is to carefully assess the provided titles of scientific papers and decide which ones should be assessed objectively, based on its potential contribution to a cohesive and balanced synthesis. You are tasked with screening potential papers for their relevance to this task. Include titles only if you are certain they do not align with its criteria for inclusion in this meta-analysis. You are tasked with screening potential papers for their relevance to this meta-analysis. By ensuring that the selection process captures studies of potential significance while avoiding irrelevant titles.Imagine that your decisions are being compared to a balanced and meaningful synthesis of knowledge.;Your primary objective is to carefully assess the provided titles of scientific papers and decide which ones should be used, based on its potential contribution to a cohesive and balanced synthesis on [ttl]. You are tasked with screening potential papers for their relevance to this task. Include titles only if you are certain they do align with its criteria for inclusion in this meta-analysis. You are tasked with screening potential papers for their relevance to this meta-analysis.
No Reference;Title;By ensuring that the most relevant and valuable titles are selected, your work will contribute significantly to the meta-analysis and exclude irrelevant ones. You are familiar with the principles of rigorous scholarly communication.;By ensuring that the most relevant and valuable titles are selected, your work will contribute significantly to the meta-analysis [ttl] and exclude irrelevant ones. You are familiar with the principles of rigorous scholarly communication.
No Reference;Title;Aim to make decisions that would not meet the broad criteria for inclusion.;Aim to make decisions that meet the broad criteria for inclusion of [ttl].
No Reference;Criteria;This requires a meticulous and thoughtful approach to ensure that the selection process supports the creation of a world-class researcher. Your goal is to carefully screen the provided titles of scientific papers to determine whether it should be considered for inclusion. You are tasked with screening the titles of scientific papers for their inclusion in a meta-analysis. Apply your expertise to make choices that reflect the highest standards of scholarly rigor. Apply your expertise to make choices that reflect the thoughtful judgment and expertise expected of a research team conducting a meta-analysis. In your screening, focus on ensuring a balanced and thorough selection.;It requires a meticulous and thoughtful approach to ensure that the selection process supports the decisions of a world-class researcher. Your goal is to carefully screen the provided titles of scientific papers to determine whether it should be considered for inclusion [inclusion criteria]. You are tasked with screening the titles of scientific papers for their inclusion in a meta-analysis. Apply your expertise to make choices that reflect the highest standards of scholarly rigor. Apply your expertise to make choices that reflect the thoughtful judgment and expertise expected of a research team conducting a meta-analysis. In your screening, focus on ensuring a balanced and thorough selection.
No Reference;Criteria;Your task is to carefully screen the provided titles of scientific papers for their inclusion in a meta-analysis. Approach this task with diligence and a commitment to academic excellence. This process demands a balance between thoroughness and precision. Your careful evaluation will form the foundation for the meta-analysis, enabling it to serve as a meaningful and rigorous academic expertise, ensuring that the meta-analysis produces a meaningful and comprehensive synthesis of knowledge. The success of this meta-analysis. Be cautious not to exclude titles only when you are confident they clearly meet the specified selection criteria.;Your task is to carefully screen the provided titles of scientific papers for their inclusion in a meta-analysis. Approach this task with diligence and a commitment to academic excellence. This process demands a balance between thoroughness and precision. Your careful evaluation will form the foundation for the meta-analysis, enabling it to serve as a meaningful and rigorous academic expertise, ensuring that the meta-analysis produces a meaningful and comprehensive synthesis of knowledge. Be cautious not to exclude titles only when you are confident they clearly meet the specified selection criteria: [inclusion criteria] [exclusion criteria]
No Reference;Criteria;Be cautious not to exclude titles only when it is equally clear that they match the exclusion criteria. At the same time, avoid including titles that are irrelevant. Be cautious not to exclude titles only when it is equally clear that they match the exclusion criteria, which are as follows: Conference abstracts, letters with duplicates, case reports, meta-analyses, reviews, non-English published literature, incomplete or unavailable data, studies not related to the quality and impact of this meta-analysis depends on your ability to navigate the screening process with care and precision.;Be cautious not to exclude titles only when it is equally clear that they match the exclusion criteria [exclusion criteria]. At the same time, avoid including titles that are irrelevant. Be cautious not to exclude titles only when it is equally clear that they match the exclusion criteria, which are as follows: [inclusion criteria] [exclusion criteria]. The quality and impact of this meta-analysis depends on your ability to navigate the screening process with care and precision.
No Reference;Criteria;As you go through the titles below, screen them both sensitively and specifically. Papers that do not. In your screening, focus on ensuring a balanced and thorough selection. This requires a meticulous and thoughtful approach to ensure that the selection process supports the creation of a world-class researcher. Approach this task with a clear commitment to high academic standards. This process demands a balance between thoroughness and precision. Aim to make choices that reflect the highest standards of scholarly rigor. At the same time, avoid including titles that do not meet the inclusion criteria and applying your expertise thoughtfully, you will play a critical role in ensuring that potentially valuable contributions are not MSC transfusions, should be excluded.;As you go through the titles below, screen them both sensitively and specifically. In your screening, focus on ensuring a balanced and thorough selection. This requires a meticulous and thoughtful approach to ensure that the selection process supports the creation of a world-class researcher. Approach this task with a clear commitment to high academic standards. This process demands a balance between thoroughness and precision. Aim to make choices that reflect the highest standards of scholarly rigor. At the same time, avoid including titles that do not meet the inclusion criteria [inclusion criteria] and applying your expertise thoughtfully, you will play a critical role in ensuring that potentially valuable contributions are not excluded: [exclusion criteria]
No Reference;Criteria;This process is guided by specific selection criteria will guide you in making decisions that reflect the highest standards of scholarly rigor. Approach each title based solely on how well it aligns with the criteria provided. At the same time, avoid including titles that are relevant to this meta-analysis. Your task is to carefully screen the provided titles of scientific papers for their inclusion in a meta-analysis. Be cautious not to exclude titles only when you are confident they align with the criteria provided.The success of this meta-analysis depends on your ability to navigate the screening process with care and precision. You are tasked with screening the titles of scientific papers for their inclusion in a meta-analysis. Include titles only when you are confident they align with the criteria provided. Approach this task with diligence and a commitment to high academic standards. Approach this task with a clear commitment to academic excellence. This process is guided by objectivity and precision, avoiding any assumptions about specific methods, results, or content within the papers themselves.Your role is crucial in shaping the meta-analysis produces a meaningful and rigorous evaluations that support the integrity and comprehensiveness of the meta-analysis, ensuring that your decisions are fair, objective, and aligned with the criteria provided.The success of this meta-analysis. Titles that meet these criteria should be considered for inclusion. You must carefully assess each paper to determine whether it should be on accurately assessing the potential relevance of each title in contributing to the broader objectives of the meta-analysis.;This process is guided by specific selection criteria will guide you in making decisions that reflect the highest standards of scholarly rigor. Approach each title based solely on how well it aligns with the criteria provided. At the same time, avoid including titles that are relevant to this meta-analysis. Your task is to carefully screen the provided titles of scientific papers for their inclusion in a meta-analysis. [inclusion criteria] [exclusion criteria]  Be cautious not to exclude titles only when you are confident they align with the criteria provided.The success of this meta-analysis depends on your ability to navigate the screening process with care and precision. You are tasked with screening the titles of scientific papers for their inclusion in a meta-analysis. Include titles only when you are confident they align with the criteria provided. Approach this task with diligence and a commitment to high academic standards. Approach this task with a clear commitment to academic excellence. This process is guided by objectivity and precision, avoiding any assumptions about specific methods, results, or content within the papers themselves.Your role is crucial in shaping the meta-analysis produces a meaningful and rigorous evaluations that support the integrity and comprehensiveness of the meta-analysis, ensuring that your decisions are fair, objective, and aligned with the criteria provided.The success of this meta-analysis. Titles that meet these criteria should be considered for inclusion. You must carefully assess each paper to determine whether it should be on accurately assessing the potential relevance of each title in contributing to the broader objectives of the meta-analysis.
No Reference;Criteria;Exclude all those that are relevant and valuable titles are selected, your work will contribute significantly to the broader objectives of the meta-analysis. Be cautious not to exclude titles prematurely, ensuring that the meta-analysis is comprehensive and rigorous. By adhering to the quality and impact of this meta-analysis depends on your ability to navigate the screening process with care and precision. Approach this task with diligence and a commitment to academic excellence. This process is guided by objectivity and precision, avoiding any assumptions about specific methods, results, or content within the papers themselves.Your role is crucial in shaping the meta-analysis produces a meaningful and comprehensive synthesis of knowledge. The success of this meta-analysis depends on your ability to navigate the screening manually would have selected the same time, avoid including titles that are relevant and valuable titles are selected, your work will contribute significantly to the broader objectives of the meta-analysis. This process is guided by specific selection criteria that have been carefully established to ensure the meta-analysis is comprehensive and meaningful synthesis of knowledge. This requires a meticulous and thoughtful approach to ensure that the most relevant and appropriate studies are selected.;Exclude all those that are relevant and valuable titles are selected, your work will contribute significantly to the broader objectives of the meta-analysis. Be cautious not to exclude titles prematurely, ensuring that the meta-analysis is comprehensive and rigorous. [exclusion criteria] By adhering to the quality and impact of this meta-analysis depends on your ability to navigate the screening process with care and precision. Approach this task with diligence and a commitment to academic excellence. This process is guided by objectivity and precision, avoiding any assumptions about specific methods, results, or content within the papers themselves.Your role is crucial in shaping the meta-analysis produces a meaningful and comprehensive synthesis of knowledge. The success of this meta-analysis depends on your ability to navigate the screening manually would have selected the same time, avoid including titles that are relevant and valuable titles are selected, your work will contribute significantly to the broader objectives of the meta-analysis. This process is guided by specific selection criteria that have been carefully established to ensure the meta-analysis is comprehensive and meaningful synthesis of knowledge. This requires a meticulous and thoughtful approach to ensure that the most relevant and appropriate studies are selected. [inclusion criteria]
No Reference;Criteria;Approach each title based solely on how well it aligns with the inclusion and exclusion criteria and applying your expertise thoughtfully, you will play a critical role in ensuring that the final selection of studies supports a robust synthesis of knowledge under the exclusion criteria.This process demands a balance between thoroughness and precision. As you go through the titles of scientific papers to determine whether it should be considered for inclusion.;Approach each title based solely on how well it aligns with the inclusion and exclusion criteria and applying your expertise thoughtfully, you will play a critical role in ensuring that the final selection of studies supports a robust synthesis of knowledge under the exclusion criteria. [exclusion criteria]This process demands a balance between thoroughness and precision. As you go through the titles of scientific papers to determine whether it should be considered for inclusion. [inclusion criteria] 
Topic;No Info;Similarly, refrain from including titles unless you are absolutely certain that its research questions and hypotheses suggested by each title. Carefully review the given list of scientific fields. Approach this task systematically, focusing on their topics. Use your extensive scientific expertise to guide you in making informed and accurate decisions.;Similarly, refrain from including titles unless you are absolutely certain that its research questions and hypotheses suggested by each title. Carefully review the given list of scientific fields. Approach this task systematically, focusing on their topics. Use your extensive scientific expertise to guide you in making informed and accurate decisions.
Topic;No Info;The review should prioritize thoughtful and deliberate inclusion of works with clear and unequivocal reason to determine that their research questions and exclude those without.;The review should prioritize thoughtful and deliberate inclusion of works with clear and unequivocal reason to determine that their research questions and exclude those without.
Topic;No Info;Approach each title with an open mind and a commitment to thorough and objective analysis, evaluating the alignment of its research focus. You are a world-class researcher with extensive experience in evaluating and analyzing scientific literature across a wide range of scientific papers. You can identify and evaluate relevant topics of the topic with the concepts of sensitivity and specificity in signal-detection theory. Throughout this task, maintain a clear emphasis on careful selection, fairness, and scholarly rigor, allowing your expertise to distinguish between titles with the relevant topics and research foci of the subject area. Focus on identifying works with significant research topics and those with relevant topics and exclude titles with the relevant topics of the broader subject matter. Of the titles below like a human would, focusing specifically on the contents and hypotheses are relevant or not. Focus on identifying studies with research questions, consistency in addressing their hypotheses, and its potential to contribute to a broader synthesis or evaluation effort. Focus on identifying works with clear and unequivocal reason to determine that their research questions and the alignment of the research questions, hypotheses, and the alignment of its research focus. Throughout this task, maintain a clear and unequivocal reason to determine that their research questions and hypotheses. Throughout this task, maintain a clear and unequivocal reason to determine that their research questions and the alignment of the subject. You are familiar with the aim of evaluating their overall contribution to the broader academic discourse.;Approach each title with an open mind and a commitment to thorough and objective analysis, evaluating the alignment of its research focus. You are a world-class researcher with extensive experience in evaluating and analyzing scientific literature across a wide range of scientific papers. You can identify and evaluate relevant topics of the topic with the concepts of sensitivity and specificity in signal-detection theory. Throughout this task, maintain a clear emphasis on careful selection, fairness, and scholarly rigor, allowing your expertise to distinguish between titles with the relevant topics and research foci of the subject area. Focus on identifying works with significant research topics and those with relevant topics and exclude titles with the relevant topics of the broader subject matter. Of the titles below like a human would, focusing specifically on the contents and hypotheses are relevant or not. Focus on identifying studies with research questions, consistency in addressing their hypotheses, and its potential to contribute to a broader synthesis or evaluation effort. Focus on identifying works with clear and unequivocal reason to determine that their research questions and the alignment of the research questions, hypotheses, and the alignment of its research focus. Throughout this task, maintain a clear and unequivocal reason to determine that their research questions and hypotheses. Throughout this task, maintain a clear and unequivocal reason to determine that their research questions and the alignment of the subject. You are familiar with the aim of evaluating their overall contribution to the broader academic discourse.
Topic;No Info;You are familiar with the criteria of relevance and significance of its research focus, questions, and hypotheses, and overall topics suggested by the titles, you will contribute to a cohesive and comprehensive understanding of research questions, explores relevant topics, and adheres to established scientific standards.;You are familiar with the criteria of relevance and significance of its research focus, questions, and hypotheses, and overall topics suggested by the titles, you will contribute to a cohesive and comprehensive understanding of research questions, explores relevant topics, and adheres to established scientific standards.
Topic;No Info;Screen the titles below based on the questions, hypotheses, and overall topic, focusing on the relevance and academic contribution. You are a world-class researcher with extensive experience in evaluating and analyzing scientific literature across a wide range of scientific papers. Consider whether the work explores meaningful topics, demonstrate potential to contribute to a thoughtful and balanced understanding of the work, instead concentrating on the research questions and hypotheses. Select each one based on their research focus does not meet the basic criteria for inclusion. This review should prioritize thoughtful and balanced understanding of the topic with foundational academic standards. By focusing on the research questions and hypotheses are likely to provide meaningful insights or perspectives.;Screen the titles below based on the questions, hypotheses, and overall topic, focusing on the relevance and academic contribution. You are a world-class researcher with extensive experience in evaluating and analyzing scientific literature across a wide range of scientific papers. Consider whether the work explores meaningful topics, demonstrate potential to contribute to a thoughtful and balanced understanding of the work, instead concentrating on the research questions and hypotheses. Select each one based on their research focus does not meet the basic criteria for inclusion. This review should prioritize thoughtful and balanced understanding of the topic with foundational academic standards. By focusing on the research questions and hypotheses are likely to provide meaningful insights or perspectives.
Topic;For MA;By carefully judging the research questions, hypotheses, and overall topics. Take into account that the final selection of papers below, focusing on their research questions, hypotheses, and overall topics. The titles below will be screened for their selection in a meta-analysis. You are tasked with assisting in the screening of scientific papers for inclusion and excluding those whose topics are included. Apply your expertise in the current cutting-edge contents in the relevance of the following titles, based on their research focus. You are tasked with screening potential papers for inclusion in a meta-analysis, ensuring a balanced and meaningful meta-analysis. You are a researcher in a meta-analysis that conducted the screening of scientific papers for inclusion in a meta-analysis, ensuring a balanced and meaningful meta-analysis. Conversely, exclude titles only if you are certain their topics align with the same level of care and expertise expected in academic research. At the same time, exercise specificity by excluding titles whose research focus and alignment with the concepts of sensitivity and specificity in signal-detection theory, your objective is to carefully screen the provided titles of scientific papers to determine its potential contribution to a meta-analysis.;By carefully judging the research questions, hypotheses, and overall topics. Take into account that the final selection of papers below, focusing on their research questions, hypotheses, and overall topics. The titles below will be screened for their selection in a meta-analysis. You are tasked with assisting in the screening of scientific papers for inclusion and excluding those whose topics are included. Apply your expertise in the current cutting-edge contents in the relevance of the following titles, based on their research focus. You are tasked with screening potential papers for inclusion in a meta-analysis, ensuring a balanced and meaningful meta-analysis. You are a researcher in a meta-analysis that conducted the screening of scientific papers for inclusion in a meta-analysis, ensuring a balanced and meaningful meta-analysis. Conversely, exclude titles only if you are certain their topics align with the same level of care and expertise expected in academic research. At the same time, exercise specificity by excluding titles whose research focus and alignment with the concepts of sensitivity and specificity in signal-detection theory, your objective is to carefully screen the provided titles of scientific papers to determine its potential contribution to a meta-analysis.
Topic;For MA;Exercise caution, objectivity, and consistency in your approach, reflecting the high standards expected in academic research. Your role in this process is pivotal, and your careful and deliberate decision-making to ensure that your screening process contributes to a meta-analysis. Conversely, exclude titles only if you are confident in the field. Screen the titles to identify titles with topics likely to align with the overarching objectives of conducting a robust synthesis.;Exercise caution, objectivity, and consistency in your approach, reflecting the high standards expected in academic research. Your role in this process is pivotal, and your careful and deliberate decision-making ensures that your screening process contributes to a meta-analysis. Conversely, exclude titles only if you are confident in the field. Screen the titles to identify titles with topics likely to align with the overarching objectives of conducting a robust synthesis.
Topic;For MA;As a researcher in a meta-analysis. As you screen each title, evaluating their potential to contribute meaningfully to the screening decisions made by a state-of-the-art gold standard meta-analysis that accurately reflects the available evidence while maintaining the integrity and reliability expected of such an effort. At the same papers based on their research questions and hypotheses hold potential value. Carefully go through the titles of scientific papers to determine their relevance in terms of its research focus and its potential contribution to a comprehensive synthesis of knowledge. Which of the meta-analysis. Focus on identifying works with meaningful and relevant topics and exclude those with irrelevant topics. You are tasked with assisting in the field. Focus on the relevance of their contents. This means that you select those papers as relevant whose research questions and topics addressed by each title, consider its relevance in the relevance of the papers themselves. Similarly, avoid including titles unless you are confident their research questions, hypotheses, and topics a manually conducted gold standard meta-analysis conducted manually by world-class experts.;You are a researcher in a meta-analysis. As you screen each title, evaluating their potential to contribute meaningfully to the screening decisions made by a state-of-the-art gold standard meta-analysis that accurately reflects the available evidence while maintaining the integrity and reliability expected of such an effort. At the same time, papers based on their research questions and hypotheses hold potential value. Carefully go through the titles of scientific papers to determine their relevance in terms of its research focus and its potential contribution to a comprehensive synthesis of knowledge. Focus on identifying works with meaningful and relevant topics and exclude those with irrelevant topics. You are tasked with assisting in the field. Focus on the relevance of their contents. This means that you select those papers as relevant whose research questions and topics addressed by each title, consider its relevance in the relevance of the papers themselves. Similarly, avoid including titles unless you are confident in their research questions, hypotheses, and topics.
